更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV15,http://116.233.22.3:4022/rtp/233.18.204.34:5140
CCTV15,http://116.233.22.3:4022/rtp/239.45.1.200:5140
CCTV17,http://116.233.22.3:4022/rtp/233.18.204.35:5140
CCTV17,http://116.233.22.3:4022/rtp/239.45.3.1:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.0.1:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.2.34:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.1.18:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.1.151:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.177.155:4022/rtp/239.94.2.69:5140
CCTV2,http://171.213.177.155:4022/rtp/239.94.2.70:5140
CCTV2,http://171.213.177.155:4022/rtp/239.94.0.2:5140
CCTV2,http://171.213.177.155:4022/rtp/239.94.2.35:5140
CCTV3,http://171.213.177.155:4022/rtp/239.94.0.32:5140
CCTV3,http://171.213.177.155:4022/rtp/239.94.0.3:5140
CCTV4,http://171.213.177.155:4022/rtp/239.94.0.4:5140
CCTV5,http://171.213.177.155:4022/rtp/239.94.0.33:5140
CCTV5,http://171.213.177.155:4022/rtp/239.94.2.30:5140
CCTV5,http://171.213.177.155:4022/rtp/239.94.0.5:5140
CCTV5+,http://171.213.177.155:4022/rtp/239.94.0.19:5140
CCTV5+,http://171.213.177.155:4022/rtp/239.94.0.23:5140
CCTV6,http://171.213.177.155:4022/rtp/239.94.0.6:5140
CCTV6,http://171.213.177.155:4022/rtp/239.94.2.33:5140
CCTV6,http://171.213.177.155:4022/rtp/239.94.0.34:5140
CCTV7,http://171.213.177.155:4022/rtp/239.94.0.7:5140
